Periodo;Nivel General y Aperturas;Indice
"periodo";"nivel_general_aperturas";"indice_icc"
"1/10/2024";"m_instalacion_sanitaria_y_contraincendio";1229,5647571555
"1/10/2024";"6_instalacion_de_gas";1150,70015860321
"1/10/2024";"t_instalacion_electrica";975,854910545783
"1/10/2024";"b_carpinteria_metalica_y_herreria";949,211098623618
"1/10/2024";"n_carpinteria_de_madera";1229,21761193377
"1/10/2024";"io_ascensores";1519,73977883738
"1/10/2024";"ii_vidrios";1185,34082937096
"1/10/2024";"i2_pintura";1048,43141811422
"1/10/2024";"ie_otros_trabajos_y_gastos";1274,21722020494
"1/11/2024";"i_movimiento_de_tierras";1069,20570217189
"1/11/2024";"2_estructura";980,646381556323
"1/11/2024";"e_albanileria";999,345746952325
"1/11/2024";"4_yeseria";1110,98648090206
"1/11/2024";"m_instalacion_sanitaria_y_contraincendio";1233,40280017532
"1/11/2024";"6_instalacion_de_gas";1147,787010804
"1/11/2024";"t_instalacion_electrica";979,088661583754
"1/11/2024";"b_carpinteria_metalica_y_herreria";951,309970370586
"1/11/2024";"n_carpinteria_de_madera";1256,7039961504
"1/11/2024";"io_ascensores";1570,08724764127
"1/11/2024";"ii_vidrios";1241,41788136254
"1/11/2024";"i2_pintura";1064,46871550572
"1/11/2024";"ie_otros_trabajos_y_gastos";1312,6347407844
"1/12/2024";"i_movimiento_de_tierras";1144,02539230172
"1/12/2024";"2_estructura";1104,38601317799
"1/12/2024";"e_albanileria";1146,33996986568
"1/12/2024";"4_yeseria";1184,44713383317
"1/12/2024";"m_instalacion_sanitaria_y_contraincendio";1250,84063148667
"1/12/2024";"6_instalacion_de_gas";1160,30988626659
"1/12/2024";"t_instalacion_electrica";1015,56861931003
"1/12/2024";"b_carpinteria_metalica_y_herreria";951,885043714331
"1/12/2024";"n_carpinteria_de_madera";1269,51923707868
"1/12/2024";"io_ascensores";1607,45155726895
"1/12/2024";"ii_vidrios";1266,2668563411
"1/12/2024";"i2_pintura";1070,36251670249
"1/12/2024";"ie_otros_trabajos_y_gastos";1389,77395866999
"1/1/2025";"i_movimiento_de_tierras";1189,30696769898
"1/1/2025";"2_estructura";1108,46664924275
"1/1/2025";"e_albanileria";1155,36898421574
"1/1/2025";"4_yeseria";1195,83210342995
"1/1/2025";"m_instalacion_sanitaria_y_contraincendio";1259,23784950505
